632,409
1704,537
1699,537
1692,666
1688,665
1676,766
1675,711
1680,760
1838,754
1828,414
1834,444
1800,942
1643,421
1849,319
1835,747
1827,951
1646,416
1855,328
1845,756
1812,948
1649,416
1857,318
1838,748
1805,950
1633,405
1857,318
1841,746
1798,947
1640,394
1852,326
1837,745
1830,945
1644,414
1850,323
1843,751
1799,949
1643,420
1851,338
1846,752
1814,945
1636,419
1851,325
1844,747
1821,944
1633,410
1854,318
1835,748
1827,949
1633,418
1854,323
1842,755
1694,702
1689,782
1785,943
1636,434
1571,943
987,633
975,709
